№ поста,№ п/п старый,№ п/п пред ОП,№ п/п новый,№ п/п пред ОП,№ п/п след ОП,Пост,Номер операции,Номер предшеств.,Номер послед.,Наименование операции,Чертеж,Трудоемкость,Кол-во человек,Время,Бригада,Место проведения работ,Резерв операции
4,7,6,190,189,191,4,190,189,191,Установка КПС (клапан подсыпки песка),6ТС.049.493,"1,00",1,"1,00",ПНЕВМ,в куз,
4,8,7,191,190,192,4,191,190,192,Монтаж к ЭПК пневматический,6ТС.049.493,"1,00",1,"1,00",ПНЕВМ,в куз,
4,9,8,192,191,,4,192,191,,Установка и монтаж экстренного торможения,6ТС.049.493,"1,00",1,"1,00",ПНЕВМ,в куз,
4,10,0,193,0,"198,194",4,193,0,"198,194",Монтаж клапанов сигналов и песочниц 1 конец,6ТС.049.333,"2,35",1,"2,35",ПНЕВМ,в куз,
4,11,"10,12",194,"193,195",225,4,194,"193,195",225,Монтаж к клапанам токоприемника и песочниц 1 конец н/в,5ТС.512.086-02,"1,50",1,"1,50",К/Ш,в куз,
4,12,0,195,0,"199,196",4,195,0,"199,196",Монтаж клапанов сигналов и песочниц 2 конец,6ТС.049.333,"2,35",1,"2,35",ПНЕВМ,в куз,
4,13,"10,12",196,"193,195",,4,196,"193,195",,Монтаж к клапанам песочниц 2 конец н/в,5ТС.512.086-02,"1,10",1,"1,10",К/Ш,в куз,
4,14,15,197,198,,4,197,198,,Монтаж пн к резервуару и клапанам токоприемника,6ТС.049.490,"1,80",1,"1,80",ПНЕВМ,в куз,
4,15,10,198,193,197,4,198,193,197,"Монтаж пн к SA3, SA5 (ВВК1)",6ТС.049.490,"2,10",1,"2,10",ПНЕВМ,в куз,
4,16,12,199,195,"200,203",4,199,195,"200,203","Монтаж пн к SA6, БПО (ВВК2)",6ТС.049.490,"2,10",1,"2,10",ПНЕВМ,в куз,
4,17,16,200,199,"207,212",4,200,199,"207,212",Монтаж пн в кузове,6ТС.049.490,"2,50",1,"2,50",ПНЕВМ,в куз,
4,18,23,201,206,,4,201,206,,Монтаж пневматический к ГВ и токоприемнику,6ТС.049.490,"1,00",1,"1,00",ПНЕВМ,в куз,
4,19,38,202,221,208,4,202,221,208,Монтаж электрический к БМК,5ТС.512.086-02,"1,20",1,"1,20",М/Р,в куз,
4,20,"15,16",203,"198,199",204,4,203,"198,199",204,Установка воздухораспределителя,6ТС.049.350,"1,85",2,"0,93",ПНЕВМ,под куз,
4,21,20,204,203,211,4,204,203,211,Установка резервуаров,6ТС.049.350,"2,10",2,"1,05",ПНЕВМ,под куз,
4,22,28,205,211,209,4,205,211,209,Монтаж пневматический,6ТС.049.350,"1,70",2,"0,85",ПНЕВМ,под куз,
4,23,"9,22",206,"192,205",201,4,206,"192,205",201,Монтаж пн под кабиной,6ТС.049.492,"4,25",1,"4,25",ПНЕВМ,под куз,
4,24,14,207,197,213,4,207,197,213,Монтаж пн в торце,6ТС.049.492,"4,50",1,"4,50",ПНЕВМ,под куз,
4,25,19,208,202,226,4,208,202,226,Включение проводов к клапанам обогрева СИЛОВОЙ,5ТС.512.086-02,"2,90",1,"2,90",М/Р,в куз,
4,26,22,209,205,210,4,209,205,210,Монтаж пн магистрали тормозной,6ТС.049.492,"4,30",2,"2,15",ПНЕВМ,под куз,
4,27,26,210,209,,4,210,209,,Монтаж пн магистрали питательной,6ТС.049.492,"4,25",2,"2,13",ПНЕВМ,под куз,
4,28,21,211,204,205,4,211,204,205,Монтаж пн магистрали прямодействующей тормозной,6ТС.049.492,"4,40",2,"2,20",ПНЕВМ,под куз,
4,29,17,212,200,,4,212,200,,Монтаж пн к маслоотделителю,6ТС.049.492,"4,10",1,"4,10",ПНЕВМ,под куз,
4,30,"24,29",213,"207,212",,4,213,"207,212",,Монтаж системы подсыпки песка,6ТС.049.492,"3,85",2,"1,93",ПНЕВМ,под куз,
4,31,0,214,0,215,4,214,0,215,Установка двери правой ,6ТС.031.578,"1,70",2,"0,85",СТОЛ,в куз,
4,32,31,215,214,216,4,215,214,216,Установка двери левой ,6ТС.031.579,"1,70",2,"0,85",СТОЛ,в куз,
4,33,32,216,215,217,4,216,215,217,Установка двери торцевой ,6ТС.031.568,"0,60",2,"0,30",СТОЛ,в куз,
4,34,33,217,216,,4,217,216,,Установка упоров и фиксаторов входных дверей,6ТС.031.570,"0,30",1,"0,30",СТОЛ,в куз,
4,35,36,218,219,223,4,218,219,223,Установка крышек ВВК1,6ТС.010.029,"2,00",2,"1,00",Т/Б,на крыше,
4,36,39,219,222,218,4,219,222,218,Установка крышки трансфоматорной,6ТС.010.029,"2,20",2,"1,10",Т/Б,на крыше,
4,37,38,220,221,222,4,220,221,222,Установка крышек ВВК2,6ТС.010.029,"1,70",2,"0,85",Т/Б,на крыше,
4,38,0,221,0,"220,202",4,221,0,"220,202",Установка крышки в торце,6ТС.010.029,"2,00",2,"1,00",Т/Б,на крыше,
4,39,37,222,220,219,4,222,220,219,Установка крышки в средней части,6ТС.010.029,"2,20",2,"1,10",Т/Б,на крыше,
4,40,35,223,218,227,4,223,218,227,Монтаж крышек на кузове (антенны),6ТС.010.029,"0,40",2,"0,20",Т/Б,на крыше,
4,41,0,224,0,"184,237",4,224,0,"184,237",Установка блоков охлажения кондиционера,6ТС.020.873,"1,50",1,"1,50",СТОЛ,на крыше,
4,42,"11,13",225,"194,196",,4,225,"194,196",,Подключение проводов к крышкам Н/В (+освещение и пожарка),5ТС.512.086-02,"4,30",2,"2,15",К/Ш,в куз,
4,43,25,226,208,,4,226,208,,Подключение проводов к крышкам В/В,5ТС.512.086-02,"2,10",1,"2,10",М/Р,в куз,
4,44,40,227,223,228,4,227,223,228,Установка токоприемника,6ТС.010.029,"1,85",2,"0,93",Т/Б,на крыше,
4,45,44,228,227,229,4,228,227,229,Монтаж шин на крышках ВВК1,6ТС.010.029,"1,60",2,"0,80",Т/Б,на крыше,
4,46,45,229,228,230,4,229,228,230,Монтаж шин на крышках трансформаторных,6ТС.010.029,"2,10",2,"1,05",Т/Б,на крыше,
4,47,46,230,229,236,4,230,229,236,Монтаж шин на крышках в торце,6ТС.010.029,"1,90",2,"0,95",Т/Б,на крыше,
4,48,0,231,0,"233,232",4,231,0,"233,232",Монтаж пневматический в компрессорном помещении (к маслоотделителю и сбросные трубы),6ТС.049.270,"2,30",2,"1,15",ПОНОМ,в куз,
4,49,48,232,231,,4,232,231,,Монтаж пневматический к главным резервуарам на крышке,6ТС.049.270,"2,50",1,"2,50",ПОНОМ,на крыше,
4,50,48,233,231,234,4,233,231,234,Монтаж пневматический к компрессору,6ТС.049.270,"2,50",1,"2,50",ПОНОМ,в куз,
4,51,50,234,233,,4,234,233,,Монтаж пневматический главных резервуаров,6ТС.049.271,"2,30",1,"2,30",ПОНОМ,на крыше,
4,52,1,235,184,,4,235,184,,Установа знаков,6ТС.031.575-01,"1,50",1,"1,50",СТОЛ,в куз,
4,55,47,236,230,,4,236,230,,Установка ББР,6ТС.020.412,"1,30",2,"0,65",Т/Б,на крыше,
4,56,41,237,224,,4,237,224,,Установка капотов,6ТС.020.873,"3,20",2,"1,60",СТОЛ,на крыше,
5,1,0,238,0,239,5,238,0,239,опрессовка соединения труб в кабине ,3ТС.001.012ИП,"1,10",2,"0,55",ГИГ,в куз,
5,2,1,239,238,240,5,239,238,240,опрессовка соединения труб по кузову ,3ТС.001.012ИП,"1,20",2,"0,60",ГИГ,в куз,
5,3,2,240,239,241,5,240,239,241,опрессовка соединения труб на БПО,3ТС.001.012ИП,"0,89",2,"0,45",ГИГ,в куз,
5,4,3,241,240,242,5,241,240,242,опрессовка соединения труб к компресору,3ТС.001.012ИП,"1,10",2,"0,55",ГИГ,в куз,
5,5,4,242,241,243,5,242,241,243,опрессовка соединения труб питательной магистрали,3ТС.001.012ИП,"1,00",2,"0,50",ГИГ,под куз,
5,6,5,243,242,244,5,243,242,244,опрессовка соединения труб тормозной магистрали,3ТС.001.012ИП,"0,90",2,"0,45",ГИГ,под куз,
5,7,6,244,243,"245,255",5,244,243,"245,255",опрессовка соединения труб соединения главных резервуаров,3ТС.001.012ИП,"0,80",2,"0,40",ГИГ,на крыше,
5,8,7,245,244,246,5,245,244,246,Продувка электровоза,-,"8,00",4,"2,00",ОРИЩЕНКО,в куз,
5,9,8,246,245,247,5,246,245,247,Сдача ОТК желобов,,"1,50",1,"1,50",,в куз,
5,10,9,247,246,248,5,247,246,248,Установка трапов в ВВК1,6ТС.020.509,"0,70",2,"0,35",Т/Б,в куз,
5,11,10,248,247,249,5,248,247,249,Установка трапов в ВВК2,6ТС.020.510-02,"0,80",2,"0,40",Т/Б,в куз,
5,12,11,249,248,250,5,249,248,250,Установка трапов на пусковом двигателе,6ТС.020.662,"0,50",2,"0,25",Т/Б,в куз,
5,13,12,250,249,251,5,250,249,251,Установка трапов в средней части,6ТЛ.002.003,"1,00",2,"0,50",Т/Б,в куз,
5,14,13,251,250,255,5,251,250,255,Установка трапов по проходному коридору,6ТЛ.030.006,"1,30",2,"0,65",Т/Б,в куз,
5,15,14,252,251,,5,252,251,,"Сдача ОТК (по кузову, крыша, подкузовная часть)",,"12,00",2,"6,00",,в куз,
5,16,,253,,,5,253,,,Устранение замечаний ОТК,,"6,00",6,"1,00",ВСЕ,в куз,
5,17,,254,,,5,254,,,Сдача ОТК по устраненным замечаниям ОТК,,"6,00",2,"3,00",,в куз,
4,53,7,255,244,,4,255,244,,Установка обтекателя ,6ТС.032.590,"2,50",2,"1,25",СДАТКА,в куз,
4,54,0,256,0,,4,256,0,,Монтаж пневматический на тележках (подсыпные рукава),6ТС.049.353,"3,00",2,"1,50",КАЧАЕВ,под куз,
6,1,0,257,0,258,6,257,0,258,Монтаж пневматический на тележках ,6ТС.049.353,"3,6",2,"0,80",ГИГ,рядом,
6,2,1,258,257,269,6,258,257,269,Установка системы смазки гребней АГС-8 ,6ТС.030.645,3,2,"1,00",ГИГ,рядом,
6,3,0,259,0,260,6,259,0,260,Установка связей кузова с тележкой (установка пружин) ,6ТЛ.031.017,"2,2",2,"0,40",КАЧАЕВ,рядом,
6,4,3,260,259,261,6,260,259,261,Установка связей кузова с тележкой (подготовка тележки) ,6ТЛ.031.017,"3,4",2,"1,70",КАЧАЕВ,рядом,
6,5,4,261,260,"265,264",6,261,260,"265,264",Установка связей кузова с тележкой (посадка электровоза)  ,6ТЛ.031.017,5,4,"0,45",КАЧАЕВ,под куз,
6,5а,8,262,265,263,6,262,265,263,Крепление ручного тормоза к тележке,6ТС.032.027,"1,54",1,"0,50",КАЧАЕВ,под куз,
6,6,5а,263,262,,6,263,262,,Установка брезентовых патрубков (крепление на тележках),6ТЛ.031.017,"0,808",1,"0,40",КАЧАЕВ,под куз,
6,7,5,264,261,,6,264,261,,Подключение проводов к тяговым двигателям  1,6ТС.050.084,"1,5",4,"0,38",М/Р,под куз,
6,8,5,265,261,"263,266",6,265,261,"263,266",Установка наклонной тяги ,6ТС.031.517,"2,3",3,"0,77",КАЧАЕВ,под куз,
6,9,8,266,265,267,6,266,265,267,Регулировка автосцепок (размер 1060±20 мм) ,3ТС.001.012-08,"0,898",1,"0,90",КАЧАЕВ,под куз,
,10,6,267,263,268,,267,263,268,Регулировка тормозной системы (выход штока и зазор на колодках),3ТС.001.012ИП,2,2,"1,00",КАЧАЕВ,под куз,
6,11,10,268,267,,6,268,267,,Проверка линейных размеров (установочных размеров) в подкузовной части ,6ТЛ.031.017,"4,782",2,"1,20",КАЧАЕВ,под куз,
6,12,2,269,258,270,6,269,258,270,Наладка подъема токоприемника,3ТС.001.012ИП,2,2,"0,50",ГИГ,на крыше,
6,13,12,270,269,271,6,270,269,271,Регулировка тормозной системы (Гигенин),3ТС.001.012ИП,"2,9",2,"0,70",ГИГ,"в куз, под кузовом",
6,14,13,271,270,272,6,271,270,272,Наладка уравнительной системы,3ТС.001.012ИП,"5,1",2,"0,70",ГИГ,под куз,
6,15,14,272,271,273,6,272,271,273,Наладка в кабине,3ТС.001.012ИП,"4,99",2,"0,70",ГИГ,в куз,
6,16,15,273,272,274,6,273,272,274,Наладка подрывных клапанов,3ТС.001.012ИП,"4,89",2,"0,70",ГИГ,в куз,
6,17,16,274,273,,6,274,273,,Сдача ЦПИ,3ТС.001.012ИП,"4,98",2,"1,00",ГИГ,в куз,
6,18,11,275,268,,6,275,268,,Сдача ОТК,,4,2,"2,00",,в куз,
